fly_time,src_airport,arrive_time,dst_airport,flight_length
2017/4/9 00:35,LAX,2017/4/10 05:30,TPE,1735.0
2017/4/1 17:10,TPE,2017/4/1 14:10,LAX,-180.0
2017/4/8 16:00,LAX,2017/4/9 21:05,TPE,1745.0
2017/4/1 23:40,TPE,2017/4/1 20:00,SFO,-220.0
2017/4/6 17:10,TPE,2017/4/6 14:10,LAX,-180.0
2017/4/12 01:05,LAX,2017/4/13 06:00,TPE,1735.0
2017/4/7 10:10,TPE,2017/4/7 07:10,LAX,-180.0
2017/4/12 00:15,LAX,2017/4/13 05:10,TPE,1735.0
2017/4/7 23:35,TPE,2017/4/7 20:00,SFO,-215.0
2017/4/15 01:05,LAX,2017/4/16 06:00,TPE,1735.0
2017/4/8 23:35,TPE,2017/4/8 20:00,SFO,-215.0
2017/4/16 00:35,LAX,2017/4/17 05:30,TPE,1735.0
2017/4/8 23:50,TPE,2017/4/8 19:25,LAX,-265.0
2017/4/16 01:40,SFO,2017/4/17 06:00,TPE,1700.0
